stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
87923,87923,EL PASO IN FRONT OF 5402,,29.424452,-98.566308,,,,,,0
87973,87973,EL PASO & SAN JOAQUIN,El Paso St & S San Joaquin Ave,29.424334,-98.563926,,,,,,0
98123,98123,EL PASO & SAN HORACIO,El Paso St & S San Horacio Ave,29.424164,-98.562153,,,,,,0
98173,98173,EL PASO BTW SAN FELIPE & SAN EDUA,El Paso St & S San Felipe Ave,29.423941,-98.559845,,,,,,0
99113,99113,EL PASO & SAN DARIO,El Paso St & S San Dario Ave,29.423816,-98.558598,,,,,,0
99163,99163,EL PASO & SAN BERNARDO,El Paso St & S San Bernardo Ave,29.423646,-98.556816,,,,,,0
91273,91273,EL PASO & MATTHEWS,,29.423271,-98.553778,,,,,,0
92313,92313,EL PASO & SW 29TH,El Paso St & D St,29.423046,-98.551488,,,,,,0
72757,72757,SW 29TH & W COMMERCE,Sw 29th St & W Commerce St,29.430022,-98.550537,,,,,,0
82337,82337,SW 29TH & MONTEREY,,29.427613,-98.550846,,,,,,0
82727,82727,SW 29TH & SAN LUIS,,29.42589,-98.550968,,,,,,0
82827,82827,SW 29TH & RANDALL,,29.42496,-98.55108,,,,,,0
92227,92227,SW 29TH & EL PASO,,29.423173,-98.551295,,,,,,0
91279,91279,EL PASO & SW 3OTH,,29.423253,-98.553006,,,,,,0
99169,99169,EL PASO & SAN BERNARDO (GEN MCMULLEN),El Paso St & S San Bernardo Ave,29.423682,-98.556579,,,,,,0
99119,99119,EL PASO & SAN DARIO,El Paso St & S San Manuel Ave,29.423852,-98.558341,,,,,,0
98179,98179,EL PASO & SAN FELIPE,El Paso St & S San Felipe Ave,29.424022,-98.560144,,,,,,0
98129,98129,EL PASO & SAN HORACIO,El Paso St & S San Horacio Ave,29.424201,-98.561957,,,,,,0
87979,87979,EL PASO & SAN JOAQUIN,El Paso St & S San Joaquin Ave,29.42437,-98.563689,,,,,,0
